GenSymbol	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12
Lcn2	7.075211711	3.918453024	3.942767834	3.247107222	4.379988243	4.980039014	5.413421452	5.405519323	5.130790876	4.670579775	4.828489417	3.673793839	1.26144055	1.361173195	1.590702611	1.087422106	0.866227506	2.035131198	2.906973308	2.704495753	3.021302045	2.950106295	1.98253914	1.61805537
Lcp2	0.995875215	0.125796554	-0.909937898	-0.04281789	-0.417879521	0.440154909	0.3023366	0.267679611	-0.470614801	-0.254945141	-0.057890163	-0.401987412	-1.337765328	-0.286951784	-1.965823734	-1.399893939	-1.420955051	-1.789406654	-0.477337562	-0.213793428	-0.907659937	-1.397972676	-1.563100474	-1.233623644
Ldb2	0.63738767	0.585087529	0.289917071	0.3313842	0.161384666	0.892647482	0.314626927	-0.103314296	-0.330681096	0.620013911	0.335071587	0.630219065	0.06250859	0.329456598	-0.348643782	0.087218411	0.128755306	-0.198884398	-0.153979336	-0.024054385	0.072846685	-0.258361303	-1.077031905	-0.052604643
Ldoc1l	-4.256722535	-4.535980883	-5.287960364	-4.380878892	-4.626992646	-5.316232053	-4.097356789	-3.897534823	-4.779426356	-4.537977007	-4.355725051	-3.809262271	-5.897096279	-5.882587939	-6.795820812	-5.707860953	-5.253392103	-4.551466058	-5.008255013	-5.197954721	-5.296111173	-6.098154645	-5.580933203	-5.70798915
Lef1	-3.837400141	-2.848193126	-3.502238659	-4.38715346	-3.284124197	-2.410834804	-2.332527464	-3.464001227	-3.31339818	-3.292524684	-3.412337763	-3.377840291	-5.58861888	-4.600438187	-3.986758154	-5.664562479	-4.504393244	-4.448114897	-2.947361528	-3.937498042	-3.465248301	-5.524918438	-5.299249226	-4.174811597
Leo1	2.657790897	2.697262293	2.472300599	3.021930943	2.888008688	3.034171687	2.089223552	1.859027316	1.60603471	1.321241209	0.838984028	0.700040147	3.063318279	3.006762987	2.769636348	2.772529684	3.251061589	3.236624254	2.453333197	2.508159865	2.516693458	1.417028847	1.794594697	1.62860564
Lepre1	2.265526912	1.715664981	2.006847346	2.143537093	2.277612871	1.924297554	1.75082943	1.342480788	1.819034566	1.86809408	1.855583135	1.86603755	1.709330342	1.855626985	1.518751653	1.253347926	1.698534103	1.881766407	1.492160838	1.439761417	1.479825524	1.353023993	1.725889453	1.313698619
Leprel2	-0.546544581	-0.032698567	-0.137673195	-0.097804448	-0.73331299	-0.219753742	0.419538892	-0.739138486	-0.869651596	0.090907615	0.139744517	-0.06501708	-1.12966448	-1.158944703	-1.0927832	-0.788297472	-1.105755743	-0.539194541	-0.575331548	-0.643193604	-0.674383325	-0.564499414	-0.627288557	-0.829275006
Leprel4	-1.603551124	-1.753930051	-1.294483835	-1.38990095	-1.946271392	-1.237363737	-1.216836734	-2.41513753	-2.16991346	-1.231149172	-1.309616877	-1.313706563	-2.143213454	-2.624252119	-2.588035827	-2.059855806	-2.169212486	-1.786024447	-1.995954589	-2.202532074	-1.66561479	-2.533350956	-2.217477366	-2.165143187
Leprot	3.280219936	3.017850662	2.702679704	2.935665294	2.766336492	2.983573729	3.289267897	3.282310802	3.039343726	3.254250863	3.184688127	3.391905165	2.627090831	2.40396572	2.317318542	2.71550245	2.735465855	2.373417139	2.738776482	2.771864455	2.731661164	2.542178792	2.58171278	2.676362201
Lepr	-0.380793607	-0.329204976	0.081039603	-0.081890118	0.167293692	-0.269974856	1.147202482	0.574324376	0.824637526	1.43717979	1.144385787	1.419021046	-2.476972065	-1.842521606	-2.731187166	-2.297956009	-2.681492258	-2.451504189	-2.875883652	-2.164567415	-2.067104303	-2.175983318	-1.966906191	-1.768095782
Lfng	0.663198862	-0.504302791	-1.001460747	-0.282794966	-0.855227896	-0.16073533	-0.147165361	-0.4867397	-0.790619005	-0.263318933	-0.309749198	-0.385064053	-1.573338056	-1.047881176	-1.632713933	-1.291772144	-2.187148589	-1.748223958	-0.761839259	-0.647137541	-0.511207379	-1.250223766	-1.404534532	-0.778078386
Lgals3	2.194676495	1.7921307	1.027408872	1.5225831	0.761736311	1.815304898	2.666861098	2.332326983	1.309694254	1.95223291	1.723663402	1.820293352	0.289775458	0.528081169	0.385916916	0.607985962	-0.30359481	-0.032273609	1.277800309	0.814008927	0.93561061	0.964280328	0.736994448	0.571084565
Lgi2	-3.959279791	-3.743449186	-3.934358209	-3.67348106	-5.216480652	-4.157224185	-4.320630253	-5.023368308	-5.380322938	-3.457065664	-3.559664334	-3.847333189	-4.700317383	-5.678408035	-5.771752407	-6.36218761	-7.896742101	-5.36469397	-5.221924679	-6.164449701	-4.158352077	-4.958068502	-7.796933689	-5.357371246
Lgmn	4.969703088	4.05878404	3.59570654	4.582206727	4.118559071	4.622262716	4.330328927	4.30714433	3.877862016	4.277226017	4.33466123	4.273307005	3.466744567	3.967187056	2.929065681	3.827229634	3.211509105	3.30042395	3.990864122	4.164818452	3.816712333	3.351359777	3.44708984	3.610912624
Lhx2	0.036819795	0.651012645	0.722658371	0.528111183	0.045806395	0.693408897	0.871985546	0.079661416	0.264200113	0.38076269	0.583875261	0.665920268	-0.515907252	-0.526188156	-0.259538666	-0.249902923	0.164528861	0.111592251	0.066743638	0.173396114	0.276639588	-0.259236465	0.031592812	0.013626619
Lifr	7.686962676	7.401178188	7.333316386	7.43932393	7.825308635	7.286567002	6.298475035	6.474695614	6.607635097	7.287943192	7.264029672	6.739956085	6.824182308	6.600880759	6.470998818	5.957250658	6.432732299	6.886440405	6.563119988	6.380724254	6.263843816	6.464001651	6.913978429	6.328326664
Lig1	-0.266031397	0.114486967	-0.562923571	0.18159874	-0.576264795	-0.064493483	0.471322747	0.354948583	0.190134409	0.538518299	0.544900775	0.446838485	-0.394022162	-0.529576629	-0.635398434	-0.413259272	-0.511686551	-0.284231361	-0.469979213	-0.409159447	-0.160567616	-0.395966642	-0.534637734	-0.207611049
Lig4	-0.243564195	-0.09638014	0.815952448	-0.215246446	0.491524766	0.364874946	0.080753158	-0.23716817	-0.068773837	-0.056009681	-0.392481719	-0.352313408	1.074738331	0.624681132	0.75997391	0.297883979	1.151865309	1.020135903	0.023099185	0.671148416	0.456091194	0.658353174	0.441419736	0.140935675
Lilra5	1.730518232	0.498863564	-0.013077977	0.687786334	0.182539758	0.691498432	0.778006669	0.796672503	-0.290914091	0.695138629	0.778738449	0.762391341	-0.947447773	-0.076360938	-1.197384895	-0.097839958	-1.244719283	-0.890679562	-0.352919472	-0.116638814	-0.780291838	-0.199497226	-0.614487235	-0.424232663
Lilra6	-1.263971885	-2.936254098	-4.228170525	-2.672652945	-2.808578846	-2.275115773	-3.223629822	-4.318173322	-4.278043293	-1.535105938	-1.196405929	-1.604309792	-4.615888286	-3.643174677	-5.438807812	-3.636666072	-4.535338424	-4.186637526	-5.886491517	-3.956499824	-5.310083275	-2.39619446	-2.741059032	-2.505770787
Lilrb3	1.115073206	-0.664592208	-1.069460964	0.000721167	-0.243682054	0.011323879	0.301856847	0.280837569	-0.462515065	0.301131062	0.012010795	0.011309565	-2.008757718	-0.885859559	-2.200600973	-1.371362633	-2.295807944	-2.067914633	-1.048659887	-0.66049087	-1.832981268	-0.93338034	-1.183818111	-1.299606449
Lilrb4	0.863645125	0.854761688	0.304616174	0.811043502	0.267332039	0.655077003	1.871200994	0.958330451	0.357022685	1.0336591	0.979535176	0.67006078	-0.441589328	0.223311331	-0.852805334	-0.496606483	-0.658241915	-0.552133087	0.041817703	0.484653748	-0.138781452	0.509300598	-0.19652661	0.116031993
Limd2	2.34783004	2.558603162	2.234176325	2.971975723	2.063782481	2.474934378	2.942970466	3.207799167	3.313257463	2.964844034	3.072814108	3.154782472	2.029322127	1.969730712	2.066257997	2.433864815	1.970721156	2.283693648	2.531630986	2.587739419	2.181897643	2.648833548	2.545103481	2.853151334
Limk2	0.024631733	0.089552386	0.018933221	-0.165212748	-0.043616176	-0.136145577	0.560529104	0.326330248	0.32988135	0.589638863	0.546926554	0.52251782	-0.606548652	-0.455807436	-0.524300805	-0.814668778	-0.357488798	-0.619678375	-0.424712844	-0.067110349	-0.127031015	-0.000141391	-0.308376507	-0.243564195
Lims2	5.200763277	5.158753067	5.755870337	4.980806777	5.285871943	5.531674649	6.253749175	5.681570141	6.18986606	5.772075672	6.038245209	5.705695968	4.512858954	4.279597582	5.226211791	4.238595812	4.449911277	4.454932583	5.347151835	5.609542229	5.646865397	5.725662095	5.472517015	5.616116522
Lin7a	2.958946583	2.938362959	3.066922698	2.980645032	3.222381086	3.168101244	3.138599883	3.460821183	3.223305152	3.173679135	2.988897327	3.067420162	2.456241049	2.621128199	2.68922982	2.113747166	2.749654398	2.827325173	2.419328539	2.611842806	2.396266372	3.256298149	3.046321671	2.692525398
Lingo1	-5.066192924	-5.716081072	-4.08609322	-4.975442019	-4.745969117	-4.32824359	-2.919991866	-4.727054737	-4.318426599	-3.943451985	-2.942828416	-2.551268166	-5.755301904	-6.880043521	-6.332783273	-6.65994068	-7.787745343	-7.840695296	-4.860977987	-5.639498625	-4.389038444	-5.116515562	-3.942367015	-4.106311618
Lipa	7.076110107	6.541048589	6.640868162	6.954254482	6.840324749	7.073830942	6.175827958	6.065070331	6.122376613	6.627358781	6.664610834	6.750928021	6.562981139	6.807084391	6.273070107	6.715838472	6.582527402	6.281262409	5.811059948	5.940098609	6.118598522	6.067103027	5.664363369	6.054090907
